Employee name;Due for promotion;Will be retrenchment;Dismissal;
Lashaunda Y Munden;0;0;No;
Latanya C Law;0;0;No;
Latia Gleaton;0;1;In progress;Latia Gleaton
Latrice Kirch;0;0;No;
Launa N Kohl;0;1;In progress;Launa N Kohl
Lauren O Guzzi;0;0;No;
Lauren R Hennessy;0;0;No;
Laurena P Caston;1;1;No;
Laurence K Ryles;0;0;No;
Laurinda Dinh;0;0;No;
Lavada Maldanado;0;0;No;
Lavada W Maldanado;0;0;No;
Lavette P Cheney;0;0;No;
Lawerence W Abernethy;0;0;No;
Leanna X Tibbetts;0;0;No;
Leda X Haskell;0;0;No;
Leda Y Fabre;0;0;No;
Leif Harness;0;0;No;
Leif Y Harness;0;0;No;
Leigh Y Haws;0;0;No;
Leland C Fifield;0;0;No;
Leland David;0;0;No;
Lemuel V Darden;0;0;No;
Lemuel W Hardman;0;0;No;
Lenny U Rister;0;1;In progress;Lenny U Rister
Leonel S Yuan;0;0;No;
Leonia Y Derosier;0;0;No;
Leonore Reason;0;0;No;
Leopoldo U Hole;0;0;No;
Leroy H Styron;0;0;No;
Les Priolo;0;0;No;
Les V Bejarano;0;0;No;
Les V Gran;0;0;No;
Lesha K Cai;0;0;No;
Lesley Macpherson;0;0;No;
Leslie I Stolte;0;0;No;
Leslie Stolte;0;0;No;
Lester Coldiron;0;0;No;
Letha L Apel;0;0;No;
Leticia V Lewandowski;0;0;No;
Lewis M Racette;0;0;No;
Lezlie Z Bohannan;0;0;No;
Lia J Liner;0;0;No;
Lia Liner;0;0;No;
Liana T Quesenberry;0;0;No;
Liane U Grafton;0;0;No;
Lianne M Sweeney;0;0;No;
Lianne Sweeney;0;0;No;
Liberty A Shroyer;0;0;No;
Lidia Kuiper;0;0;No;
Lidia S Gerling;0;0;No;
Ligia Hoeft;0;0;No;
Lilli Tartt;0;0;No;
Lincoln D Cauley;0;0;No;
Lincoln D Demaria;0;0;No;
Lincoln Demaria;0;0;No;
Lindsey W Whittle;0;0;No;
Lindy M Reel;0;0;No;
Linette Q Menard;0;0;No;
Linh U Ashton;0;0;No;
Linn Plummer;0;0;No;
Lino M Lizarraga;0;0;No;
Linsey P Orsini;0;0;No;
Linwood H Carter;0;0;No;
Linwood J Franqui;0;0;No;
Lisa C Sheridan;0;0;No;
Lisette F Cowley;0;0;No;
Liz R Lomonaco;0;0;No;
Lizzette G Moyle;0;0;No;
Lizzette Moyle;0;0;No;
Lizzie D Ratcliff;0;0;No;
Logan D Berryman;0;0;No;
Lois Cozad;0;0;No;
Lona T Collar;0;0;No;
Londa Petrey;0;0;No;
Londa T Maya;0;0;No;
Loraine Barnes;0;0;No;
Loralee V Ball;0;0;No;
Loren H Mckenzie;1;1;No;
Loren I Casady;0;0;No;
Loren Isaac;0;0;No;
Lorette Y Petrillo;0;0;No;
Lorri Garney;0;0;No;
Lorriane P Ho;0;1;In progress;Lorriane P Ho
Lottie Bonin;0;0;No;
Lottie G Bonin;0;0;No;
Lou Baine;0;0;No;
Louann X Sakamoto;0;0;No;
Love G Lent;0;0;No;
Lowell Demmer;0;0;No;
Lucas Funes;0;0;No;
Lucas P Funes;0;0;No;
Luciana N Campfield;0;0;No;
Lucienne U Clyne;0;0;No;
Lucinda Z Borton;0;0;No;
Lucius C Moorhead;0;0;No;
Lucy Reiser;0;0;No;
Luella W Kemmerer;0;0;No;
Luigi G Lembo;0;0;No;
Luke S Tumlin;0;0;No;
Lyla Donald;0;0;No;
Lyla Q Donald;0;0;No;
Lyn Q Tso;0;0;No;
Lyn Tso;0;1;In progress;Lyn Tso
Lyndon Dunkley;0;0;No;
Lynn M Blocher;0;0;No;
Lynwood Durfee;0;0;No;
Lynwood Q Durfee;0;0;No;
Mac Lineberry;0;0;No;
Mac U Palmquist;0;0;No;
Mac V Lineberry;0;0;No;
Mack L Lykes;1;0;No;
Madalene J Martine;0;0;No;
Madelyn W Boos;0;0;No;
Magaly Mcneel;0;0;No;
Magaly U Mcneel;0;0;No;
Maire Mair;0;0;No;
Malcolm Y Bonaparte;0;0;No;
Malcom Darrah;0;0;No;
Malcom L Meister;0;0;No;
Man W Bean;0;0;No;
Mandy Lavalley;0;0;No;
Mandy W Lavalley;0;0;No;
Marcell T Farias;0;0;No;
Marcella Mapp;0;0;No;
Marcella Z Mapp;0;0;No;
Marcellus H Macintyre;0;0;No;
Marcellus Jalbert;0;0;No;
Marco J Desilva;0;0;No;
Marg Dunfee;0;0;No;
Margarett E Mulford;0;0;No;
Margarite E Blalock;0;0;No;
Margarito M Oxendine;0;0;No;
Margarito O Retana;0;0;No;
Margarito Retana;0;0;No;
Marget Dials;0;0;No;
Margit E Gallion;0;0;No;
Margit Gallaher;0;0;No;
Margrett M Confer;0;1;In progress;Margrett M Confer
Mariam F Pinheiro;0;0;No;
Mariano F Leary;0;0;No;
Mariano Y Kyles;0;0;No;
Maricela Pendergrass;0;0;No;
Marina X Quayle;0;0;No;
Maris S Briggs;0;0;No;
Marissa S Hughes;0;0;No;
Marivel Seiter;0;0;No;
Mark F Hamman;0;0;No;
Marketta Candelaria;0;0;No;
Markus J Lamm;0;0;No;
Marlana W Zak;0;0;No;
Marleen R Guyette;0;0;No;
Marlon M Caddell;0;0;No;
Marni O Otter;0;0;No;
Mary Y Tate;0;0;No;
Maryellen E Zackery;0;0;No;
Maryellen H Hartness;0;0;No;
Maryjo Mccloy;0;0;No;
Maryln H Springfield;0;0;No;
Marylouise Howland;0;0;No;
Marylyn K Ditto;0;0;No;
Marylynn Ealey;0;0;No;
Marylynn G Ealey;0;0;No;
Mason Shiflett;0;0;No;
Mathilda Monty;0;0;No;
Matt D Bramblett;0;0;No;
Mauricio I Streets;1;0;No;
Mauricio U Talty;0;0;No;
Maximina K Frates;1;1;No;
Maxwell Azevedo;0;0;No;
Maxwell H Azevedo;0;0;No;
Maybelle Rush;0;0;No;
Mckinley H Scofield;0;0;No;
Meda I Hayner;0;0;No;
Mei H Silvera;0;0;No;
Melida R Corle;0;0;No;
Mellissa Hembree;0;0;No;
Mervin E Goering;0;0;No;
Mervin Goering;0;0;No;
Meryl B Jude;0;0;No;
Meryl Gow;0;0;No;
Meryl I Nau;0;0;No;
Meryl Nau;0;0;No;
Mica Z Herzberg;0;0;No;
Micaela N Buker;0;1;In progress;Micaela N Buker
Micheal F Mcleroy;0;0;No;
Mickey E Hentges;0;0;No;
Mickey Hentges;0;0;No;
Micki R Jauregui;0;0;No;
Mignon H Ballesteros;0;0;No;
Mignon Q Dills;0;0;No;
Miguel P Karp;0;0;No;
Mika J Rodriquez;0;0;No;
Mika Rodriquez;0;0;No;
Mike A Waddington;0;0;No;
Miles Lambert;0;0;No;
Miles N Light;0;0;No;
Millicent G Mangan;0;0;No;
Millicent Mangan;0;0;No;
Min X Buckmaster;0;0;No;
Mina P Shotwell;0;0;No;
Mina Shotwell;0;0;No;
Minta J Branham;0;0;No;
Mirian E Gorman;0;0;No;
Mirtha Herzig;0;0;No;
Mirtha X Herzig;0;0;No;
Misti H Mendenhall;0;0;No;
Misti Royal;0;0;No;
Moises U Hughs;0;0;No;
Molly U Rasch;0;0;No;
Monte F Mcginn;0;0;No;
Monty C Hughes;0;0;No;
Morgan Carriere;0;0;No;
Morgan K Rathbun;0;0;No;
Morgan Leonetti;0;0;No;
Morgan O Carriere;0;0;No;
Morgan V Leonetti;0;0;No;
Mose Brucker;0;0;No;
Mose O Brucker;0;0;No;
Mumin Yusha;0;0;No;
Murray D Pennock;0;0;No;
Myles G Strum;0;0;No;
Myra H Parra;0;0;No;
Myron Elsea;0;0;No;
Myron V Elsea;0;0;No;
Nadia B Rosner;0;0;No;
Nancy V Trogdon;0;0;No;
Nannette Ressler;0;0;No;
Nannie Z Seeman;0;0;No;
Narcisa C Rayburn;1;1;No;
Natasha L Mcelhannon;0;0;No;
Nathan Avendano;0;0;No;
Nathan V Avendano;0;0;No;
Nathanael G Mcmillin;0;0;No;
Nathanael Halloway;0;0;No;
Nathanael W Ohl;0;0;No;
Neil Gebhard;0;0;No;
Neil V Gebhard;0;0;No;
Neil Z Stoughton;0;0;No;
Nelida E Cheeks;0;0;No;
Nella Mckeown;0;0;No;
Nelson Dubuc;0;0;No;
Nelson O Dubuc;0;0;No;
Neomi P Pitchford;0;0;No;
Nestor T Ventura;0;0;No;
Nettie T Mccandless;1;1;No;
Newton L Cromartie;0;0;No;
Newton V Scalia;0;0;No;
Ngoc P Pogue;0;0;No;
Ngoc X Watson;0;0;No;
Nicholas B Salcedo;0;0;No;
Nick Q Packard;0;0;No;
Nickolas G Grossi;0;0;No;
Nicola S Bellis;0;0;No;
Nicolle A Crothers;0;0;No;
Nigel K Wadsworth;0;0;No;
Nigel O Sansom;0;0;No;
Nigel V Dupras;0;0;No;
Nikia Z Thrasher;0;0;No;
Nilsa Arambula;0;0;No;
Noah O Love;0;0;No;
Noble Sanderson;0;0;No;
Noel Garon;0;0;No;
Nolan V Velazco;0;0;No;
Norris P Ewen;0;0;No;
Novella B Osman;0;0;No;
Novella Osman;0;0;No;
Odette Gorden;0;0;No;
Olevia U Cartier;0;0;No;
Oliver Mouzon;0;0;No;
Omer H Moultrie;0;0;No;
Ona K Koepp;0;0;No;
Oren M Mcnabb;0;1;In progress;Oren M Mcnabb
Oren Mcnabb;0;1;In progress;Oren Mcnabb
Orval N Pichardo;0;0;No;
Orval Olinger;0;0;No;
Orval Q Olinger;0;1;In progress;Orval Q Olinger
Orval Q Schlesinger;0;0;No;
Orville Marcantel;0;0;No;
Orville Massey;0;0;No;
Oscar R Bovee;0;0;No;
Oswaldo Baumbach;0;0;No;
Otha Sylvester;0;0;No;
Otha T Orrell;0;0;No;
Otto Reilly;0;0;No;
Palmer O Beamer;0;0;No;
Pansy Duchesne;0;0;No;
Pansy F Duchesne;0;0;No;
Paola R Timberlake;0;0;No;
Paris U Leite;0;0;No;
Patria D Riedel;1;1;No;
Patrick H Gilleland;0;0;No;
Patty Hosey;0;0;No;
Paz J Hegwood;0;0;No;
Perry E Huddleston;0;0;No;
Perry Outland;0;0;No;
Pete B Donnelly;0;0;No;
Petrina B Dampier;0;0;No;
Petrina Dampier;0;0;No;
Phil Czarnecki;0;0;No;
Phil G Czarnecki;0;0;No;
Phil T Urena;0;0;No;
Philip Trinidad;0;0;No;
Philip X Trinidad;0;0;No;
Phillip Crabill;0;0;No;
Phyllis Figueredo;0;0;No;
Porfirio Houghton;0;0;No;
Porsche Dearing;0;0;No;
Prince Maloof;0;0;No;
Providencia Hennings;0;0;No;
Queenie M Alder;0;0;No;
Quinn Linneman;0;0;No;
Rachelle M Burkhead;0;0;No;
Rafaela Madrid;0;0;No;
Rafaela N Madrid;0;0;No;
Raguel Yeager;0;0;No;
Ramon Heldt;0;0;No;
Ramona V Hemphill;0;0;No;
Ramona W Rand;0;0;No;
Ramonita Z Fincher;0;0;No;
Randal J Kahle;0;0;No;
Randal Kahle;0;0;No;
Randee O Cassity;0;0;No;
Randee X Blunt;0;0;No;
Raphael W Kellner;0;0;No;
Rashida M Durante;0;0;No;
Raye T Willmon;0;0;No;
Raymon I Chavarria;0;0;No;
Raymond U Flavin;0;0;No;
Raymundo Pecora;0;1;In progress;Raymundo Pecora
Reagan H Costas;0;0;No;
Reanna I Hampton;0;0;No;
Reatha E Osby;0;0;No;
Rebeca Kromer;0;0;No;
Reed O Vella;0;0;No;
Reed Vella;0;0;No;
Reggie Cramer;0;0;No;
Reinaldo Castellanos;0;0;No;
Reinaldo G Castellanos;1;1;No;
Renaldo K Cheatham;1;0;No;
Rene Morel;0;0;No;
Ressie Goodwyn;0;0;No;
Ressie I Goodwyn;0;0;No;
Retha G Nealy;0;0;No;
Rex K Dion;0;0;No;
Reyes X Segal;0;0;No;
Reynalda M Millwood;0;0;No;
Reynaldo S Service;0;1;In progress;Reynaldo S Service
Rhett A Chapple;0;0;No;
Rhett H Goode;0;0;No;
Rich Cleek;0;0;No;
Rich Q Rehberg;0;0;No;
Rich Rehberg;0;0;No;
Richard C Truman;0;0;No;
Richard J Fetter;0;0;No;
Richelle Haffner;0;0;No;
Richie I Weisz;0;0;No;
Rick E Armenta;0;0;No;
Rick Y Haefner;0;0;No;
Rickey I Delk;0;0;No;
Rina L Chacon;0;0;No;
Rob Spier;0;0;No;
Robbie N Heckman;0;0;No;
Robert Ancheta;0;0;No;
Robert C Ancheta;0;0;No;
Robert F Trudeau;0;0;No;
Robert Winsor;0;0;No;
Roberto A Fresquez;0;0;No;
Roberto U Derry;0;0;No;
Robin Z Stewart;0;0;No;
Rod Catania;0;0;No;
Rodney Leonardo;0;0;No;
Rogelio Finnerty;0;0;No;
Rogelio Ledezma;0;0;No;
Rolando Womble;0;0;No;
Ronnie E Swim;0;0;No;
Ronnie G Gumbs;0;0;No;
Ronnie H Upton;0;0;No;
Ronnie Upton;0;0;No;
Rory Syed;0;0;No;
Rosa Iler;0;0;No;
Rosaline H Brenneman;0;0;No;
Rosalva G Shepley;0;0;No;
Rosanna D Standley;0;0;No;
Roscoe Tunney;0;0;No;
Roselia F Britton;0;0;No;
Rosella E Marron;0;0;No;
Rosemarie K Fellows;0;0;No;
Rosetta Messerly;0;0;No;
Rosette F Cascio;0;0;No;
Rosina Gonsalves;0;0;No;
Ross Imai;0;0;No;
Rosy U Baumeister;0;0;No;
Roy W Wilkie;0;0;No;
Royal U Okeefe;0;0;No;
Royce K Goodwyn;0;0;No;
Rozanne N Mielke;0;0;No;
Rubin Confer;0;0;No;
Rubin E Confer;0;0;No;
Ruby B Hare;0;0;No;
Rueben X Pidgeon;0;0;No;
Rufus F Furlong;0;0;No;
Rufus Neufeld;0;0;No;
Russ I Teed;0;0;No;
Russ U Belliveau;0;0;No;
Russel Baumer;0;0;No;
Rusty Bibby;0;0;No;
Sal C Heiden;0;0;No;
Salena I Santillan;0;0;No;
Salena Santillan;0;0;No;
Salvatore J Lindell;0;0;No;
Sam C Limones;0;0;No;
Sam E Lacey;0;0;No;
Samantha V Lucky;0;0;No;
Sammy C Holtzclaw;0;1;In progress;Sammy C Holtzclaw
Samuel Dart;0;0;No;
Sanford Knee;0;0;No;
Sarita P Schubert;0;1;In progress;Sarita P Schubert
Scott D Torrey;1;1;No;
Scott K Ricco;0;0;No;
Selma Abram;0;0;No;
Sena U Delrosario;0;0;No;
Serina Lingle;0;0;No;
Seth N Lipsky;0;0;No;
Seth Willilams;0;0;No;
Shanelle Z Hick;0;0;No;
Shannon J Force;0;0;No;
Shanti F Quirion;0;0;No;
Shanti P Brinegar;0;1;In progress;Shanti P Brinegar
Shanti Quirion;0;0;No;
Shara Millsap;0;0;No;
Sharda W Choudhury;0;0;No;
Sharita Y Lombardi;0;0;No;
Sharlene Klein;0;0;No;
Sharonda Janzen;0;0;No;
Sharri Z Gormley;0;0;No;
Sharyl Y Torian;0;0;No;
Shasta F Bay;0;0;No;
Shasta P Depuy;0;0;No;
Shavon K Wescott;0;0;No;
Shavonne B Boylan;0;0;No;
Shavonne Henkle;0;1;In progress;Shavonne Henkle
Shawanda Ostlund;0;0;No;
Shayne T Claytor;0;0;No;
Sheila F Bergman;0;0;No;
Shemika D Porterfield;0;0;No;
Sherise Bledsoe;0;0;No;
Sherise C Bledsoe;0;0;No;
Sherlene E Mcdaniel;0;0;No;
Sherryl B Raker;0;0;No;
Sherryl Raker;0;0;No;
Sherwood K Shire;0;1;In progress;Sherwood K Shire
Sheryll X Broadbent;1;0;No;
Shirl M Caraballo;0;0;No;
Shirley H Mettler;0;0;No;
Sidney D Amore;0;0;No;
Silas J Wojcik;0;0;No;
Silas S Pyatt;0;0;No;
Silvana V Hendrix;0;0;No;
Simon G Cromwell;0;0;No;
Sixta H Jo;0;0;No;
Sixta Jo;0;0;No;
Sol Coffman;0;0;No;
Sol K Roger;0;1;In progress;Sol K Roger
Solange Landaverde;0;0;No;
Son D Ricketts;0;0;No;
Sonny Najar;0;0;No;
Sophia F Knecht;0;0;No;
Stacey H Galante;0;0;No;
Stacy B Kennell;0;0;No;
Stan I Folks;0;0;No;
Stan S Watt;0;0;No;
Stanley Caudill;0;0;No;
Stanley F Casillas;0;0;No;
Stanton Y Cavallaro;0;0;No;
Stasia L Daley;0;0;No;
Stefanie P Rose;0;0;No;
Stephan Q Ranger;1;1;No;
Stephnie Millman;0;0;No;
Steve S Everette;0;0;No;
Steven B Daigneault;0;0;No;
Steven Daigneault;0;0;No;
Stewart Mazurek;1;1;No;
Stuart Fullwood;0;0;No;
Suellen Eoff;0;0;No;
Sunshine F Earle;0;0;No;
Susan Barra;0;0;No;
Susana H Hooks;1;1;No;
Susana Hooks;0;0;No;
Susann A Faucett;0;0;No;
Suzette F Lovejoy;0;0;No;
Suzette Lovejoy;0;0;No;
Sydney Trosper;0;0;No;
Sylvester Harmer;0;0;No;
Sylvester M Harmer;0;0;No;
Sylvester Z Blackledge;0;0;No;
Tad Laster;0;0;No;
Tad Portillo;0;0;No;
Tad V Laster;0;0;No;
Talisha F Nicklas;0;0;No;
Tamera Balser;0;1;In progress;Tamera Balser
Tamesha I Knepper;0;0;No;
Tamica J Holoman;0;0;No;
Tammi S Garret;0;0;No;
Tammy Staples;0;0;No;
Tammy Z Lorentz;0;0;No;
Taneka Q Church;1;1;No;
Tanner Y Hollenbeck;0;0;No;
Tawanda E Buchanon;0;0;No;
Taylor O Thill;0;0;No;
Taylor Thill;1;1;No;
Tayna L Covarrubias;0;0;No;
Teddy Kleinschmidt;0;0;No;
Tempie Peralta;0;0;No;
Terra D Routh;0;0;No;
Terra Routh;0;0;No;
Terrance E Schiefelbein;0;0;No;
Terrell J Leader;0;0;No;
Terrell Leader;0;0;No;
Theda Timothy;0;0;No;
Theresa Fitzmaurice;0;0;No;
Theresa R Fitzmaurice;0;0;No;
Therese Q Belden;1;1;No;
Theron T Kramer;0;0;No;
Thomas B Felipe;0;0;No;
Thomas H Huang;0;0;No;
Thora Vanhook;0;0;No;
Thurman T Caceres;0;0;No;
Tiffaney A Schoenberg;0;0;No;
Tiffaney Schoenberg;0;0;No;
Tim N Schueller;0;0;No;
Tim U Kornegay;0;0;No;
Timmy I Poteat;0;0;No;
Timmy Kitchens;0;0;No;
Tinisha V Vince;0;0;No;
Tiny Llanos;0;0;No;
Tiny Q Llanos;1;1;No;
Tiny Z Oliveri;0;0;No;
Titus Eide;0;0;No;
Toby Riles;0;0;No;
Tod Rene;0;0;No;
Toi F Stallard;0;0;No;
Tomas V Krout;0;0;No;
Tommie S Fargo;0;0;No;
Tommy I Meadows;0;0;No;
Tona S Huseby;0;0;No;
Toney Buffum;0;0;No;
Toney O Gentle;0;1;In progress;Toney O Gentle
Toney W Bollman;1;1;No;
Tonia Silvis;0;0;No;
Tonia X Silvis;0;0;No;
Tonja E Lenahan;0;0;No;
Tonja Lenahan;0;0;No;
Tony E Keough;0;0;No;
Tony Keough;0;0;No;
Towanda H Matson;0;0;No;
Toya B Rawlins;1;1;No;
Tracey Lapinski;0;0;No;
Tracie J Winebarger;0;0;No;
Trent J Lockman;0;0;No;
Tressa Q Standard;0;0;No;
Tressa Standard;0;0;No;
Trey Kaiser;0;0;No;
Tristan L Cockrell;0;0;No;
Tristan M Brackett;0;0;No;
Troy J Higbee;0;0;No;
Troy Michalski;0;0;No;
Tuan L Rhymes;0;0;No;
Tyler D Galindo;0;0;No;
Tyler Galindo;0;0;No;
Tyler N Larkins;0;0;No;
Tyree W Linden;0;0;No;
Tyrell R Bramlett;0;0;No;
Tyson High;0;0;No;
Ula W Hartl;0;0;No;
Ulysses S Abate;0;0;No;
Un Zebrowski;0;0;No;
Ute Outen;0;0;No;
Valarie O Gorecki;0;0;No;
Valencia M Cuffee;0;0;No;
Valene R Yost;0;0;No;
Valene Yost;0;0;No;
Valene Z Woodmansee;1;1;No;
Valentin Escoto;0;0;No;
Valentin T Dearborn;0;0;No;
Valentine Gibbon;0;0;No;
Valeria Fang;0;0;No;
Van E Broadbent;0;0;No;
Van T Dotson;0;0;No;
Vance Kuss;0;0;No;
Vasiliki E Thoman;0;0;No;
Vasiliki Thoman;0;0;No;
Vaughn Garica;1;1;No;
Vaughn N Garica;0;0;No;
Velda V Larue;0;0;No;
Verla H Contreras;0;0;No;
Vern T Lomeli;0;0;No;
Vernell X Amado;1;1;No;
Verona H Brobst;0;0;No;
Veronica I Mower;0;0;No;
Vicki V Broussard;0;0;No;
Vicki Y Hargrave;0;0;No;
Victor Helmuth;0;0;No;
Victoria H Musson;0;0;No;
Vikki N Lezama;0;1;In progress;Vikki N Lezama
Vincent N Lennon;0;0;No;
Vincenzo Rentschler;0;0;No;
Vinita E Chamber;0;0;No;
Violet L Ertel;0;1;In progress;Violet L Ertel
Virgil R Yuen;0;0;No;
Vivienne X Binion;0;0;No;
Voncile P Trojanowski;0;0;No;
Vonda U Mckinnis;0;0;No;
Waldo Witmer;0;0;No;
Walter B Mcmorrow;0;0;No;
Walter H Hargreaves;0;0;No;
Walter R Seddon;0;0;No;
Walton S Keim;1;1;No;
Walton U Kapoor;0;0;No;
Warner I Manly;0;0;No;
Warren L Manion;0;0;No;
Waylon Z Curtsinger;0;0;No;
Wendolyn Riddle;0;0;No;
Whitney N Wasinger;0;0;No;
Wiley U Maske;0;0;No;
Wilfred Honore;0;0;No;
Wilhelmina Y Keaney;0;0;No;
Willia Vath;0;1;In progress;Willia Vath
William B Mcnerney;0;0;No;
Williams Timko;0;0;No;
Willian Zeringue;0;0;No;
Willis D Weissman;0;0;No;
Wilton Florence;0;0;No;
Windy A Dudek;0;1;In progress;Windy A Dudek
Windy Dudek;0;0;No;
Windy Pharr;0;0;No;
Windy S Pharr;0;0;No;
Windy Valadez;0;0;No;
Winona Slape;0;0;No;
Wm S Goldschmidt;0;1;In progress;Wm S Goldschmidt
Xochitl Hogan;0;0;No;
Xochitl Luse;0;0;No;
Yong Ramsey;0;0;No;
Young Rueb;0;0;No;
Young W Funes;0;0;No;
Yung G Booher;0;0;No;
Yvone Seay;0;0;No;
Zachary Haugland;0;0;No;
Zachary S Velasquez;0;0;No;
Zachary U Breeden;0;0;No;
Zachary Velasquez;0;0;No;
Zachery Barna;0;0;No;
Zack H Mumaw;0;0;No;
Zackary G Parkins;0;0;No;
Zana G Ordonez;0;0;No;
Zane J Hurdle;0;0;No;
Zella Renn;0;0;No;
Zenia D Owings;0;0;No;
Zoila X Nair;0;0;No;
